customer_id,customer_name,customer_gender,customer_birthdate,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,loyalty_card_number,latitude,longitude,is_business,age,years_as_customer,lifetime_spend,spend_per_year,education_level,2D_DBSCAN_clusters,3D_DBSCAN_cluster
19330,Donald Robertson,male,1981-06-26 10:58:00,1.0,0.0,0.0,2.0,197.0,5958.0,21.0,20.0,1435.0,434.0,86.0,80.0,45.0,1964.0,85.0,0.0986467036753164,2015.0,,38.77776054739632,-9.156196663230803,0,42,6.0,10219.0,1703.1666666666667,0,1,1
26762,Alan Lambert,male,1989-09-08 07:52:00,1.0,0.0,1.0,2.0,186.0,4460.0,21.0,25.0,1434.0,513.0,8.0,71.0,64.0,2035.0,134.0,0.100642372383959,2009.0,,38.71628507887281,-9.154417072318436,0,34,12.0,8796.0,733.0,0,1,1
2345,Bsc. Henry Schultz,male,1988-11-01 04:18:00,0.0,1.0,1.0,2.0,174.0,4784.0,20.0,20.0,1441.0,545.0,78.0,62.0,72.0,2168.0,131.0,0.1000512325207356,2010.0,904674.0,38.75727294257478,-9.133417871696684,0,35,11.0,9344.0,849.4545454545455,1,1,1
19722,Ann Murphy,female,1980-04-04 08:34:00,0.0,0.0,1.0,2.0,190.0,5231.0,22.0,20.0,1449.0,460.0,22.0,52.0,47.0,2096.0,66.0,0.1019216766738751,2008.0,,38.7212404446121,-9.18864700190845,0,43,13.0,9567.0,735.9230769230769,0,1,1
18530,Rosalie Mcneal,female,1940-04-08 11:45:00,1.0,0.0,0.0,1.0,206.0,5330.0,21.0,22.0,1461.0,460.0,117.0,14.0,29.0,2071.0,116.0,0.098032068994557,2016.0,,38.75441975983707,-9.125821026312964,0,83,5.0,9710.0,1942.0,0,1,1
18851,Maria Velis,female,1949-09-15 11:26:00,0.0,0.0,0.0,2.0,200.0,4897.0,22.0,19.0,1425.0,461.0,59.0,57.0,53.0,1942.0,94.0,0.1011506627746869,2009.0,,38.70873629125318,-9.151751082887664,0,74,12.0,9113.0,759.4166666666666,0,1,1
14743,Phd. Perry Jones,male,1998-07-20 05:00:00,1.0,0.0,1.0,2.0,170.0,5278.0,20.0,21.0,1543.0,570.0,47.0,43.0,31.0,2185.0,80.0,0.1020265859195264,2007.0,,38.72284604129042,-9.138043470600191,0,25,14.0,9888.0,706.2857142857143,3,1,1
5365,Bsc. Johanna Mckelvy,female,1948-12-06 07:52:00,1.0,1.0,1.0,2.0,215.0,5756.0,20.0,14.0,1499.0,550.0,9.0,87.0,70.0,1940.0,91.0,0.0970137670705425,2007.0,,38.751630436079886,-9.186199112181145,0,75,14.0,10140.0,724.2857142857143,1,1,1
17382,Ronnie Butler,male,1947-03-03 12:06:00,0.0,0.0,0.0,2.0,194.0,4936.0,23.0,16.0,1453.0,573.0,22.0,8.0,32.0,2125.0,113.0,0.1014860662003363,2010.0,,38.73515660950436,-9.18124892590898,0,76,11.0,9359.0,850.8181818181819,0,1,1
7127,Bsc. Hugh Hasbrouck,male,1964-11-18 01:03:00,1.0,0.0,0.0,2.0,196.0,5528.0,21.0,22.0,1491.0,439.0,34.0,91.0,86.0,2144.0,114.0,0.103135257102297,2007.0,,38.73191997684335,-9.140735293840123,0,59,14.0,10031.0,716.5,1,1,1
24247,Barbara Morgan,female,1976-08-06 05:38:00,0.0,0.0,1.0,2.0,222.0,4703.0,21.0,18.0,1410.0,613.0,33.0,130.0,52.0,2115.0,85.0,0.0979191870770337,2009.0,,38.72348957251176,-9.139935807872645,0,47,12.0,9296.0,774.6666666666666,0,1,1
16286,James Buchanon,male,1953-02-25 09:40:00,1.0,0.0,1.0,2.0,182.0,5183.0,20.0,21.0,1391.0,576.0,35.0,22.0,38.0,1993.0,97.0,0.1012618857637925,2006.0,,38.76358753522937,-9.160199782389917,0,70,15.0,9441.0,629.4,0,1,1
12976,Phd. Jerry Goad,male,1968-12-20 02:45:00,1.0,0.0,0.0,2.0,223.0,4668.0,22.0,19.0,1579.0,536.0,127.0,69.0,60.0,2014.0,64.0,0.1024215860218065,2012.0,,38.73686171829426,-9.18994031071499,0,55,9.0,9295.0,1032.7777777777778,3,1,1
