customer_id,customer_name,customer_gender,customer_birthdate,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,loyalty_card_number,latitude,longitude,is_business,age,years_as_customer,lifetime_spend,spend_per_year,education_level,2D_DBSCAN_clusters,3D_DBSCAN_cluster,cluster
25288,Emma Williams,female,1942-06-17 12:02:00,3.0,4.0,1.0,2.0,5282.0,237.0,12.0,499.0,873.0,460.0,1081.0,1068.0,617.0,1078.0,1956.0,0.2067129740594806,2010.0,,38.74408574834155,-9.156589191583356,0,81,11.0,11195.0,1017.7272727272727,0,3,3,2
22941,John Abreu,male,1968-12-12 11:47:00,4.0,3.0,1.0,3.0,4591.0,220.0,18.0,409.0,1076.0,643.0,938.0,1195.0,166.0,816.0,2032.0,0.1996277535039583,2014.0,,38.74086285112899,-9.158160293357314,0,55,7.0,10054.0,1436.2857142857142,0,3,3,2
20623,Cedrick Villar,male,1975-01-10 04:32:00,0.0,4.0,1.0,4.0,4838.0,190.0,17.0,531.0,936.0,477.0,1129.0,1149.0,412.0,1075.0,1987.0,0.1959423510190288,2014.0,,38.7301660210664,-9.139697907312453,0,48,7.0,10737.0,1533.857142857143,0,3,3,2
1702,Phd. Robert Pires,male,1967-12-05 02:16:00,5.0,3.0,1.0,3.0,4882.0,225.0,15.0,565.0,866.0,542.0,1146.0,1008.0,544.0,973.0,2052.0,0.1976879175001956,2009.0,978864.0,38.74855433029544,-9.19345249300966,0,56,12.0,10751.0,895.9166666666666,3,3,3,2
27633,Linda Sartin,female,1961-03-21 03:56:00,4.0,1.0,1.0,3.0,4872.0,216.0,16.0,823.0,811.0,471.0,1131.0,1014.0,443.0,877.0,1923.0,0.2020182752550943,2005.0,,38.73229796422037,-9.202582863537772,0,62,16.0,10658.0,666.125,0,3,3,2
755,Phd. Virginia Price,female,1972-10-14 09:23:00,1.0,1.0,1.0,4.0,5059.0,223.0,23.0,385.0,886.0,419.0,1035.0,1052.0,579.0,930.0,2177.0,0.195961546911468,2014.0,959806.0,38.76814265563627,-9.115242993628,0,51,7.0,10568.0,1509.7142857142858,3,3,3,2
13349,Phd. Brandon Garcia,male,1967-09-02 01:06:00,3.0,2.0,1.0,3.0,4945.0,192.0,22.0,772.0,922.0,390.0,1130.0,989.0,547.0,946.0,2090.0,0.1960485322444186,2007.0,,38.723574234638974,-9.186491576531566,0,56,14.0,10833.0,773.7857142857143,3,3,3,2
9027,Bsc. Wanda Osborne,female,1983-09-20 05:42:00,5.0,2.0,1.0,3.0,4924.0,206.0,21.0,519.0,882.0,250.0,1271.0,1114.0,523.0,889.0,2207.0,0.2058364366093371,2008.0,949646.0,38.75891184865537,-9.184400035055356,0,40,13.0,10578.0,813.6923076923077,1,3,3,2
4744,Phd. Bonnie Mack,female,1944-10-21 10:16:00,2.0,1.0,1.0,3.0,5082.0,169.0,20.0,313.0,839.0,601.0,1100.0,1096.0,616.0,1065.0,2186.0,0.2085821032296481,2011.0,941576.0,38.74862703765759,-9.192209106729369,0,79,10.0,10881.0,1088.1,3,3,3,2
20936,Agnes Thomas,female,1973-05-23 04:46:00,6.0,2.0,1.0,3.0,5260.0,207.0,22.0,503.0,926.0,366.0,1154.0,1208.0,442.0,899.0,2027.0,0.197608198371737,2007.0,,38.74513127919448,-9.184997193428805,0,50,14.0,10965.0,783.2142857142857,0,3,3,2
25351,Demarcus Haveman,male,1959-11-20 08:39:00,2.0,2.0,1.0,3.0,4769.0,223.0,18.0,539.0,1040.0,608.0,1038.0,1125.0,555.0,995.0,1868.0,0.1992984805521092,2006.0,,38.78186449084617,-9.09862989001063,0,64,15.0,10892.0,726.1333333333333,0,3,3,2
17420,Floyd Dupes,male,1978-08-22 02:41:00,3.0,1.0,1.0,3.0,4597.0,176.0,22.0,583.0,754.0,637.0,1135.0,1047.0,385.0,1121.0,1886.0,0.1922498154519278,2009.0,,38.74985885529739,-9.169719413525764,0,45,12.0,10435.0,869.5833333333334,0,3,3,2
17610,Rachelle Torkelson,female,1944-06-30 06:05:00,3.0,1.0,1.0,3.0,4837.0,195.0,18.0,814.0,837.0,329.0,1156.0,1023.0,487.0,1086.0,2019.0,0.2008608959670685,2009.0,,38.738702355743335,-9.205610355040632,0,79,12.0,10764.0,897.0,0,3,3,2
551,Bsc. Jean Pinette,female,1987-03-22 12:53:00,1.0,2.0,1.0,3.0,5065.0,226.0,13.0,739.0,848.0,531.0,1186.0,1045.0,497.0,1159.0,2143.0,0.1965657939326786,2007.0,961207.0,38.7480294987984,-9.09862989001063,0,36,14.0,11296.0,806.8571428571429,1,3,3,2
11537,Phd. Davida Manuel,female,1984-02-21 03:35:00,4.0,0.0,1.0,3.0,5160.0,214.0,17.0,490.0,892.0,472.0,1000.0,1010.0,413.0,1161.0,1959.0,0.1957008225615088,2014.0,,38.776968731765216,-9.17595289187375,0,39,7.0,10812.0,1544.571428571429,3,3,3,2
14399,Phd. Elaine Kenney,female,1964-03-26 02:26:00,5.0,0.0,1.0,3.0,5104.0,175.0,16.0,662.0,851.0,558.0,991.0,1153.0,540.0,942.0,2054.0,0.1997348154134059,2010.0,,38.73066140216284,-9.202698310676244,0,59,11.0,10976.0,997.818181818182,3,3,3,2
16555,Frank White,male,1977-08-29 02:02:00,2.0,3.0,1.0,2.0,5219.0,221.0,17.0,436.0,909.0,597.0,1213.0,1097.0,550.0,987.0,2024.0,0.2066855186451118,2013.0,,38.76367480188125,-9.09862989001063,0,46,8.0,11229.0,1403.625,0,3,3,2
22011,James Williams,male,1964-11-29 04:19:00,2.0,1.0,1.0,3.0,4848.0,220.0,18.0,664.0,961.0,596.0,1222.0,1094.0,382.0,862.0,2134.0,0.2046612604222975,2012.0,,38.74613645650316,-9.184248210354337,0,59,9.0,10849.0,1205.4444444444443,0,3,3,2
3312,Bsc. Carlos Duckett,male,1940-11-26 03:13:00,4.0,2.0,1.0,3.0,5092.0,190.0,13.0,475.0,1022.0,492.0,1054.0,1175.0,386.0,880.0,2010.0,0.2046915722620288,2009.0,974545.0,38.74840698226152,-9.138047413827712,0,83,12.0,10766.0,897.1666666666666,1,3,3,2
10242,Bsc. Hattie Myles,female,1986-04-23 05:18:00,3.0,2.0,1.0,3.0,5321.0,228.0,22.0,573.0,816.0,201.0,1169.0,1035.0,493.0,850.0,2027.0,0.1946161237459975,2009.0,,38.7507715617951,-9.150635793153713,0,37,12.0,10686.0,890.5,1,3,3,2
17745,Alfredo Bouton,male,1957-08-09 02:18:00,3.0,1.0,1.0,3.0,5227.0,216.0,19.0,737.0,878.0,527.0,1017.0,980.0,519.0,1137.0,2077.0,0.2038006001811698,2013.0,,38.76898552829325,-9.165657413709605,0,66,8.0,11238.0,1404.75,0,3,3,2
25659,Arthur Jones,male,1962-05-17 03:53:00,2.0,3.0,1.0,2.0,5226.0,207.0,20.0,452.0,838.0,427.0,1069.0,1043.0,542.0,964.0,1843.0,0.1978690145934298,2009.0,,38.746757963696965,-9.161534343233615,0,61,12.0,10768.0,897.3333333333334,0,3,3,2
13948,Msc. Ruby Cooper,female,2000-07-20 08:30:00,2.0,4.0,1.0,3.0,4899.0,193.0,16.0,728.0,735.0,460.0,1165.0,1238.0,552.0,974.0,1968.0,0.2024794840702455,2020.0,,38.73793931146451,-9.180031038211904,0,23,1.0,10944.0,10944.0,2,3,3,2
25912,Brian Chase,male,1979-11-08 05:06:00,1.0,0.0,1.0,3.0,4821.0,179.0,14.0,553.0,713.0,412.0,1344.0,1105.0,657.0,909.0,2131.0,0.1976538799886589,2008.0,,38.76295332739642,-9.187738856385476,0,44,13.0,10693.0,822.5384615384615,0,3,3,2
20312,Candice Hodges,female,1986-10-15 03:33:00,2.0,2.0,1.0,4.0,4710.0,193.0,18.0,593.0,875.0,454.0,889.0,912.0,518.0,888.0,1817.0,0.1967247716633189,2017.0,,38.78064542525646,-9.110363095039414,0,37,4.0,10032.0,2508.0,0,3,3,2
21399,Sandra Purifoy,female,1971-03-12 09:26:00,2.0,2.0,1.0,3.0,4803.0,224.0,18.0,526.0,839.0,440.0,1224.0,1023.0,579.0,1071.0,1865.0,0.1927283816024402,2010.0,,38.71961635482189,-9.16487222188786,0,52,11.0,10729.0,975.3636363636364,0,3,3,2
11984,Msc. Dennis Fonceca,male,1989-11-14 05:15:00,1.0,1.0,1.0,3.0,4946.0,207.0,18.0,397.0,872.0,539.0,1080.0,1081.0,682.0,793.0,1905.0,0.2052416553604828,2013.0,,38.75365303794744,-9.131420601309603,0,34,8.0,10597.0,1324.625,2,3,3,2
9645,Msc. Deborah Spruill,female,1956-05-09 08:29:00,4.0,2.0,1.0,2.0,5329.0,188.0,21.0,682.0,968.0,517.0,943.0,1189.0,349.0,1105.0,2197.0,0.2012157939244905,2009.0,,38.73018262432398,-9.184183257245396,0,67,12.0,11270.0,939.1666666666666,2,3,3,2
7714,Bsc. John Hoffmann,male,1954-06-08 03:43:00,5.0,1.0,1.0,3.0,5094.0,210.0,20.0,674.0,991.0,519.0,1160.0,1149.0,456.0,997.0,1968.0,0.1983991078679866,2006.0,956555.0,38.75809347888607,-9.103822740051102,0,69,15.0,11250.0,750.0,1,3,3,2
6053,Msc. Yolanda Hair,female,1987-05-13 06:36:00,4.0,1.0,1.0,2.0,4610.0,214.0,20.0,440.0,919.0,475.0,929.0,1037.0,529.0,675.0,1917.0,0.2022451487017969,2011.0,964184.0,38.73260212783214,-9.144361825530764,0,36,10.0,9828.0,982.8,2,3,3,2
13025,Phd. Jessica Dick,female,1958-05-05 11:55:00,4.0,1.0,1.0,3.0,5205.0,178.0,7.0,473.0,961.0,487.0,1200.0,1062.0,484.0,940.0,1932.0,0.1959388860818623,2007.0,,38.72903763259269,-9.16287370858915,0,65,14.0,10990.0,785.0,3,3,3,2
4112,Msc. Karen Church,female,1986-02-17 03:56:00,9.0,4.0,1.0,3.0,4769.0,165.0,20.0,711.0,893.0,339.0,1216.0,1276.0,526.0,1041.0,2000.0,0.2007194034730191,2015.0,947561.0,38.77922429991312,-9.09862989001063,0,37,6.0,10936.0,1822.6666666666667,2,3,3,2
19039,Frank Cox,male,1965-07-07 07:40:00,4.0,4.0,1.0,3.0,5041.0,231.0,18.0,881.0,995.0,681.0,1231.0,1029.0,388.0,1143.0,1795.0,0.1935082823657471,2007.0,,38.7474096202793,-9.205730495204946,0,58,14.0,11620.0,830.0,0,3,3,2
23067,Andrew Cummins,male,1981-08-27 09:58:00,3.0,0.0,1.0,3.0,4917.0,195.0,18.0,687.0,921.0,529.0,1226.0,1191.0,410.0,995.0,2053.0,0.1972520712906255,2008.0,,38.773095080185634,-9.185450590422736,0,42,13.0,11071.0,851.6153846153846,0,3,3,2
25420,Jesus Weber,male,1972-12-13 05:49:00,2.0,2.0,1.0,3.0,5087.0,179.0,16.0,511.0,983.0,401.0,1073.0,1166.0,531.0,1184.0,2076.0,0.204126443808329,2006.0,,38.72683892396481,-9.169623884564112,0,51,15.0,11115.0,741.0,0,3,3,2
6652,Phd. Floyd Blanco,male,1944-11-15 04:20:00,3.0,1.0,1.0,3.0,4797.0,189.0,18.0,819.0,895.0,521.0,1127.0,1183.0,321.0,989.0,1938.0,0.2068952250686648,2002.0,933927.0,38.73666548081074,-9.21287161835108,0,79,19.0,10841.0,570.578947368421,3,3,3,2
6795,Bsc. Lisa Yoder,female,1959-06-08 07:55:00,3.0,2.0,1.0,3.0,4876.0,194.0,15.0,696.0,918.0,313.0,916.0,1057.0,617.0,1002.0,2011.0,0.2010631527119093,2009.0,922973.0,38.74877789063071,-9.18152605030114,0,64,12.0,10589.0,882.4166666666666,1,3,3,2
20808,Richard Dooley,male,1946-10-19 07:29:00,3.0,1.0,0.0,2.0,4757.0,229.0,19.0,699.0,966.0,377.0,963.0,1254.0,503.0,1018.0,1952.0,0.192636339221318,2011.0,,38.77498839377338,-9.109445559703396,0,77,10.0,10766.0,1076.6,0,3,3,2
6867,Bsc. Harry Lane,male,1955-11-12 03:39:00,4.0,3.0,1.0,3.0,4715.0,205.0,16.0,588.0,969.0,554.0,1117.0,1148.0,578.0,1172.0,2025.0,0.2013313464624361,2008.0,928843.0,38.74012217113287,-9.180857598346837,0,68,13.0,11046.0,849.6923076923077,1,3,3,2
16957,Stephanie Real,female,1940-06-04 02:31:00,4.0,1.0,1.0,2.0,5155.0,236.0,15.0,736.0,833.0,566.0,1091.0,1083.0,515.0,907.0,1973.0,0.2004694653831899,2013.0,,38.73131876059013,-9.158672523846889,0,83,8.0,11122.0,1390.25,0,3,3,2
14497,Msc. Phebe Kim,female,1959-12-08 05:32:00,2.0,2.0,1.0,3.0,4879.0,153.0,16.0,560.0,950.0,510.0,975.0,887.0,304.0,1016.0,2049.0,0.1935883726367057,2012.0,,38.71781451050875,-9.156335992198812,0,64,9.0,10234.0,1137.111111111111,2,3,3,2
19217,Michael Vermillion,male,1971-04-30 05:07:00,4.0,1.0,1.0,4.0,4682.0,207.0,14.0,530.0,1121.0,491.0,1123.0,1118.0,538.0,962.0,2069.0,0.2034658086162284,2008.0,,38.7565967246313,-9.195370698247167,0,52,13.0,10772.0,828.6153846153846,0,3,3,2
4975,Bsc. Annie Everett,female,1948-08-30 01:45:00,6.0,1.0,1.0,3.0,5071.0,180.0,18.0,475.0,963.0,422.0,975.0,1254.0,509.0,1074.0,2133.0,0.2022019567865483,2006.0,970621.0,38.71988597676848,-9.150351619561103,0,75,15.0,10923.0,728.2,1,3,3,2
3119,Msc. Andrea Carol,female,1941-08-10 11:41:00,2.0,0.0,1.0,3.0,5127.0,165.0,17.0,544.0,915.0,406.0,1070.0,1077.0,465.0,990.0,2290.0,0.1968230101735116,2006.0,955742.0,38.72243776078793,-9.183205793931798,0,82,15.0,10759.0,717.2666666666667,2,3,3,2
24637,Karen Morris,female,1981-09-16 02:05:00,6.0,1.0,1.0,2.0,4650.0,197.0,15.0,726.0,891.0,589.0,1035.0,1182.0,470.0,1096.0,1933.0,0.2074702592668604,2012.0,,38.75783868379247,-9.19117035038658,0,42,9.0,10836.0,1204.0,0,3,3,2
25342,Bernard Warren,male,1998-05-03 06:40:00,0.0,4.0,1.0,3.0,4763.0,232.0,13.0,651.0,781.0,617.0,1125.0,1134.0,480.0,1103.0,1964.0,0.1973501700106071,2002.0,,38.74827419249911,-9.176498176872528,0,25,19.0,10886.0,572.9473684210526,0,3,3,2
20303,Heidi Brogan,female,1951-07-08 12:43:00,2.0,1.0,1.0,2.0,5139.0,197.0,18.0,662.0,840.0,617.0,1050.0,1282.0,504.0,948.0,2051.0,0.2068358314829348,2012.0,,38.78202916645397,-9.09862989001063,0,72,9.0,11239.0,1248.7777777777778,0,3,3,2
12630,Phd. Ruby Thomas,female,1953-09-10 10:34:00,2.0,2.0,1.0,2.0,4973.0,194.0,15.0,717.0,918.0,433.0,1271.0,1048.0,526.0,1158.0,1874.0,0.2083230471784591,2008.0,,38.77716481478095,-9.184616871515754,0,70,13.0,11238.0,864.4615384615385,3,3,3,2
1761,Phd. Sallie Barga,female,1941-09-05 03:14:00,6.0,1.0,1.0,3.0,4709.0,211.0,14.0,576.0,942.0,539.0,988.0,1157.0,487.0,954.0,1956.0,0.2046199513998514,2008.0,935209.0,38.73221574274544,-9.192884470531633,0,82,13.0,10563.0,812.5384615384615,3,3,3,2
11440,Msc. Lidia Namdar,female,1976-09-03 06:36:00,7.0,0.0,1.0,3.0,4941.0,240.0,19.0,588.0,820.0,590.0,1113.0,1078.0,452.0,1113.0,1932.0,0.2058649223491474,2007.0,,38.72622114720909,-9.183988404857764,0,47,14.0,10935.0,781.0714285714286,2,3,3,2
13402,Msc. Kathryn Andrews,female,1970-06-05 12:23:00,0.0,1.0,0.0,3.0,5006.0,194.0,13.0,665.0,902.0,439.0,997.0,1062.0,531.0,863.0,1860.0,0.1992389583523405,2008.0,,38.75446306094968,-9.1589191503354,0,53,13.0,10659.0,819.9230769230769,2,3,3,2
21875,Tressa Canizales,female,1990-11-14 03:53:00,4.0,2.0,1.0,3.0,5308.0,180.0,21.0,657.0,921.0,610.0,1159.0,854.0,581.0,1053.0,1964.0,0.2067788487028205,2015.0,,38.73115717270654,-9.155749577127231,0,33,6.0,11323.0,1887.1666666666667,0,3,3,2
10065,Bsc. Estella Perreira,female,1940-10-24 07:28:00,2.0,0.0,0.0,3.0,4993.0,194.0,14.0,507.0,863.0,495.0,1252.0,1081.0,595.0,900.0,2012.0,0.2154254779570436,2012.0,,38.74775865085934,-9.156007590435935,0,83,9.0,10880.0,1208.888888888889,1,3,3,2
27640,Betty Plungy,female,1971-10-31 03:11:00,3.0,4.0,1.0,3.0,4739.0,187.0,19.0,532.0,790.0,284.0,994.0,990.0,383.0,976.0,2050.0,0.1991518555060831,2009.0,,38.75335049975494,-9.175887680180558,0,52,12.0,9875.0,822.9166666666666,0,3,3,2
22960,Laurel Strayer,female,1953-09-28 06:45:00,6.0,2.0,1.0,3.0,4981.0,190.0,15.0,544.0,869.0,366.0,1110.0,1123.0,608.0,881.0,1950.0,0.2047432123788289,2009.0,,38.7297662914447,-9.178670817706244,0,70,12.0,10672.0,889.3333333333334,0,3,3,2
17249,Kimberly Carrier,female,1947-07-12 07:39:00,1.0,1.0,1.0,2.0,4837.0,190.0,18.0,679.0,771.0,613.0,1164.0,952.0,564.0,993.0,1869.0,0.2058362681074346,2014.0,,38.744099939460376,-9.174425058915029,0,76,7.0,10763.0,1537.571428571429,0,3,3,2
8779,Msc. Richard Robb,male,1957-03-30 02:52:00,5.0,1.0,1.0,3.0,5109.0,206.0,18.0,754.0,1030.0,536.0,1244.0,1035.0,538.0,898.0,2141.0,0.2055375222294991,2010.0,985440.0,38.77740787968776,-9.166199964862248,0,66,11.0,11350.0,1031.8181818181818,2,3,3,2
14707,Msc. Andrea Roberts,female,1955-10-20 07:33:00,3.0,3.0,1.0,2.0,4753.0,204.0,17.0,701.0,1020.0,718.0,1152.0,1067.0,462.0,1078.0,2004.0,0.2046893704504512,2012.0,,38.75533888888924,-9.15529648766748,0,68,9.0,11155.0,1239.4444444444443,2,3,3,2
