customer_id,customer_name,customer_gender,customer_birthdate,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,loyalty_card_number,latitude,longitude,is_business,age,years_as_customer,lifetime_spend,spend_per_year,education_level,2D_DBSCAN_clusters,3D_DBSCAN_cluster
4239,Sara Moscowitz,female,1999-09-10 03:11:00,0.0,0.0,0.0,2.0,91.0,20.0,22.0,22.0,195.0,964.0,53.0,48.0,47.0,105.0,85.0,0.1921540050500816,2017.0,,38.754262587204245,-9.163397127258571,0,24,4.0,1545.0,386.25,0,0,0
12829,Hilda Huerta,female,2000-01-31 11:43:00,0.0,0.0,0.0,2.0,82.0,22.0,21.0,9.0,172.0,856.0,39.0,39.0,48.0,103.0,83.0,0.2006253949391179,2015.0,,38.75602408777993,-9.162970337848757,0,23,6.0,1370.0,228.3333333333333,0,0,0
15914,Fannie Onisick,female,2001-10-11 09:41:00,0.0,0.0,0.0,2.0,108.0,22.0,23.0,28.0,194.0,891.0,54.0,59.0,37.0,105.0,84.0,0.2040969732383171,2019.0,,38.75677762438401,-9.156132675435265,0,22,2.0,1498.0,749.0,0,0,0
24738,Pamela Bryant,female,2001-12-15 01:55:00,0.0,0.0,0.0,2.0,101.0,18.0,21.0,28.0,201.0,901.0,55.0,50.0,44.0,97.0,80.0,0.1955724227312995,2017.0,,38.73061657252386,-9.158933878574144,0,22,4.0,1495.0,373.75,0,0,0
27691,Tamika Hunsicker,female,1999-03-03 05:27:00,0.0,0.0,0.0,2.0,136.0,20.0,23.0,25.0,208.0,976.0,50.0,50.0,53.0,102.0,68.0,0.1966330455321285,2020.0,,38.74670583787732,-9.169598655254164,0,24,1.0,1620.0,1620.0,0,0,0
8537,Laura Mensalvas,female,2000-08-30 04:30:00,0.0,0.0,0.0,2.0,76.0,23.0,22.0,21.0,201.0,861.0,51.0,63.0,52.0,100.0,72.0,0.2092821291775011,2018.0,,38.65425490436805,-9.209705920078909,0,23,3.0,1448.0,482.6666666666667,0,0,0
5078,Holly Williams,female,2000-02-17 04:00:00,0.0,0.0,0.0,2.0,58.0,21.0,20.0,15.0,205.0,890.0,44.0,66.0,48.0,95.0,76.0,0.2091762774573086,2019.0,,38.73892243767666,-9.163713182409936,0,23,2.0,1442.0,721.0,0,0,0
7397,Eugene Jarvi,male,2001-04-03 03:19:00,0.0,0.0,0.0,2.0,114.0,23.0,21.0,21.0,189.0,891.0,57.0,48.0,45.0,104.0,60.0,0.196548414932844,2014.0,,38.65580940141519,-9.207449861372671,0,22,7.0,1492.0,213.1428571428572,0,0,0
8839,Laura Eckerson,female,1999-12-16 04:21:00,0.0,0.0,0.0,2.0,82.0,18.0,22.0,17.0,194.0,971.0,53.0,56.0,57.0,108.0,93.0,0.1979526280837878,2020.0,,38.75312457479978,-9.15955057357694,0,24,1.0,1556.0,1556.0,0,0,0
12361,Bryan Orozco,male,2000-04-23 10:11:00,0.0,0.0,0.0,2.0,83.0,17.0,22.0,27.0,191.0,858.0,48.0,46.0,50.0,91.0,93.0,0.1980170964627881,2015.0,,38.729444259469126,-9.164767392019144,0,23,6.0,1411.0,235.16666666666663,0,0,0
29037,Rosemary Knox,female,1999-07-24 02:41:00,0.0,0.0,0.0,2.0,80.0,18.0,23.0,22.0,196.0,1000.0,49.0,52.0,50.0,97.0,101.0,0.1980446815506179,2017.0,,38.74411389124893,-9.154544662079402,0,24,4.0,1564.0,391.0,0,0,0
19131,Robert Jordan,male,2001-09-29 02:11:00,0.0,0.0,0.0,2.0,122.0,18.0,23.0,27.0,197.0,905.0,60.0,50.0,54.0,107.0,67.0,0.208358762554994,2017.0,,38.66301382027059,-9.20775561507459,0,22,4.0,1540.0,385.0,0,0,0
9533,Irene Small,female,1999-01-16 07:16:00,0.0,0.0,0.0,2.0,136.0,17.0,23.0,14.0,198.0,916.0,54.0,48.0,47.0,97.0,78.0,0.2038553252954169,2020.0,,38.74271371020438,-9.164774800684455,0,24,1.0,1527.0,1527.0,0,0,0
7276,Rafaela Willett,female,1999-04-22 02:07:00,0.0,0.0,0.0,2.0,111.0,21.0,23.0,21.0,197.0,874.0,56.0,44.0,48.0,109.0,87.0,0.1977448401041776,2016.0,,38.746525614588414,-9.155156074753366,0,24,5.0,1481.0,296.2,0,0,0
1497,Angela Mckee,female,2000-02-29 09:04:00,0.0,0.0,0.0,2.0,115.0,21.0,21.0,16.0,200.0,970.0,48.0,60.0,60.0,100.0,92.0,0.2157090458237953,2020.0,,38.7529783148289,-9.158510250406325,0,23,1.0,1590.0,1590.0,0,0,0
5229,Michael Schell,male,1999-02-05 08:48:00,0.0,0.0,0.0,2.0,94.0,20.0,22.0,26.0,188.0,918.0,47.0,61.0,46.0,102.0,80.0,0.1964430068801773,2014.0,,38.74599002630503,-9.16512324601584,0,24,7.0,1502.0,214.57142857142856,0,0,0
11797,William Crieghton,male,1999-12-22 01:26:00,0.0,0.0,0.0,2.0,107.0,19.0,21.0,14.0,209.0,848.0,53.0,55.0,51.0,96.0,84.0,0.2024276304652586,2015.0,,38.74331246195195,-9.158827001863274,0,24,6.0,1452.0,242.0,0,0,0
5718,William Jenkins,male,2000-04-15 04:54:00,0.0,0.0,0.0,2.0,64.0,19.0,23.0,24.0,184.0,967.0,52.0,42.0,42.0,109.0,89.0,0.2024036390627873,2016.0,,38.65675602467172,-9.19956509048944,0,23,5.0,1503.0,300.6,0,0,0
27311,Richard Walker,male,2000-10-11 06:24:00,0.0,0.0,0.0,2.0,116.0,22.0,22.0,17.0,212.0,961.0,58.0,53.0,52.0,105.0,77.0,0.2044714506476668,2017.0,,38.667255478551056,-9.205527327646584,0,23,4.0,1596.0,399.0,0,0,0
28237,Curtis Bowler,male,2000-12-24 07:33:00,0.0,0.0,0.0,2.0,122.0,21.0,22.0,31.0,209.0,901.0,48.0,56.0,43.0,101.0,89.0,0.1956309168528797,2018.0,,38.75533420576943,-9.158547885045856,0,23,3.0,1532.0,510.6666666666667,0,0,0
3464,Clara Horn,female,1999-05-02 11:39:00,0.0,0.0,0.0,2.0,102.0,19.0,23.0,22.0,196.0,897.0,50.0,47.0,42.0,99.0,80.0,0.2007024560011796,2019.0,,38.72956575633318,-9.160170196027712,0,24,2.0,1474.0,737.0,0,0,0
25865,Paul Johnson,male,1999-05-26 08:57:00,0.0,0.0,0.0,2.0,70.0,22.0,22.0,20.0,197.0,880.0,53.0,38.0,47.0,96.0,55.0,0.1952377109367927,2018.0,,38.75488768322191,-9.17292782211918,0,24,3.0,1423.0,474.3333333333333,0,0,0
2477,Ryan Guild,male,2000-10-23 02:23:00,0.0,0.0,0.0,2.0,107.0,19.0,22.0,25.0,190.0,890.0,51.0,46.0,44.0,110.0,78.0,0.1975661775236205,2017.0,,38.65625346875131,-9.208564688327746,0,23,4.0,1482.0,370.5,0,0,0
8058,Lola Gideon,female,2001-08-31 10:21:00,0.0,0.0,0.0,2.0,91.0,22.0,23.0,21.0,201.0,964.0,44.0,46.0,51.0,106.0,74.0,0.1986103183640029,2017.0,,38.7407914591266,-9.157691124401962,0,22,4.0,1546.0,386.5,0,0,0
6325,Michael Anderson,male,2000-11-05 01:44:00,0.0,0.0,0.0,2.0,87.0,19.0,21.0,26.0,209.0,893.0,49.0,48.0,51.0,103.0,82.0,0.1989473004916649,2017.0,,38.726310607139176,-9.163233919733525,0,23,4.0,1485.0,371.25,0,0,0
518,Janie Martinez,female,2001-01-12 11:37:00,0.0,0.0,0.0,2.0,107.0,21.0,23.0,27.0,216.0,916.0,48.0,54.0,58.0,99.0,69.0,0.1995470742671673,2018.0,,38.75429821077602,-9.151744091984307,0,22,3.0,1546.0,515.3333333333334,0,0,0
5649,Walter Zymowski,male,1999-09-22 08:55:00,0.0,0.0,0.0,2.0,103.0,23.0,18.0,15.0,181.0,794.0,54.0,50.0,46.0,104.0,77.0,0.1990335240588814,2016.0,,38.66550336190054,-9.20073285775727,0,24,5.0,1370.0,274.0,0,0,0
5415,Richard Lavoie,male,2001-03-31 09:36:00,0.0,0.0,0.0,2.0,105.0,23.0,22.0,18.0,213.0,924.0,44.0,53.0,48.0,99.0,98.0,0.1982984774076268,2016.0,,38.65499494984667,-9.197926010612086,0,22,5.0,1527.0,305.4,0,0,0
5056,Albert Brown,male,2000-01-14 03:49:00,0.0,0.0,0.0,2.0,134.0,19.0,23.0,14.0,196.0,906.0,49.0,40.0,48.0,99.0,95.0,0.2080285667842452,2015.0,,38.65691145075844,-9.199773159994082,0,23,6.0,1505.0,250.8333333333333,0,0,0
18668,Barbara Athayde,female,2001-10-27 03:16:00,0.0,0.0,0.0,2.0,74.0,19.0,23.0,23.0,194.0,916.0,52.0,48.0,46.0,99.0,73.0,0.204887345060333,2018.0,,38.75694362109339,-9.151332324019116,0,22,3.0,1471.0,490.3333333333333,0,0,0
3477,Bernice Vanochten,female,2000-02-25 11:00:00,0.0,0.0,0.0,2.0,98.0,16.0,22.0,21.0,196.0,988.0,50.0,44.0,43.0,103.0,92.0,0.1921283348813977,2017.0,,38.74463314221882,-9.153359873443826,0,23,4.0,1559.0,389.75,0,0,0
6806,Charles Moore,male,2000-02-25 04:30:00,0.0,0.0,0.0,2.0,117.0,21.0,22.0,26.0,190.0,923.0,39.0,54.0,49.0,97.0,61.0,0.1956247173297956,2018.0,,38.74387900171241,-9.161436758770428,0,23,3.0,1516.0,505.3333333333333,0,0,0
17747,Norma Barfield,female,2000-03-24 06:57:00,0.0,0.0,0.0,2.0,104.0,18.0,21.0,13.0,204.0,957.0,38.0,54.0,49.0,104.0,83.0,0.1942315717502764,2020.0,,38.75571544576746,-9.167956191637517,0,23,1.0,1541.0,1541.0,0,0,0
13256,Lauren Lancaster,female,2000-01-19 01:06:00,0.0,0.0,0.0,2.0,121.0,19.0,21.0,17.0,202.0,856.0,51.0,46.0,44.0,106.0,85.0,0.198369943728205,2014.0,,38.75221002773961,-9.156872995727236,0,23,7.0,1462.0,208.8571428571429,0,0,0
