customer_id,customer_name,customer_gender,customer_birthdate,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,loyalty_card_number,latitude,longitude,is_business,age,years_as_customer,lifetime_spend,spend_per_year,education_level,2D_DBSCAN_clusters,3D_DBSCAN_cluster,cluster
21285,Msc. Teresa Dennis,female,1994-12-03 01:02:00,0.0,0.0,0.0,3.0,7463.0,1271.0,20.0,410.0,393.0,333.0,688.0,720.0,181.0,432.0,469.0,0.150052730118459,2010.0,,38.74013897522309,-9.169529731854295,0,29,11.0,11891.0,1081.0,2,6,6,5
27943,Stephanie Laud,female,1993-05-02 03:36:00,0.0,0.0,0.0,3.0,7492.0,1112.0,20.0,338.0,403.0,503.0,634.0,797.0,335.0,555.0,331.0,0.1622562777467138,2017.0,,38.762081394432016,-9.16653329950981,0,30,4.0,12169.0,3042.25,0,6,6,5
20085,Msc. Steven Levy,male,1994-03-01 11:43:00,0.0,0.0,0.0,3.0,6881.0,1284.0,18.0,422.0,457.0,410.0,746.0,669.0,55.0,442.0,400.0,0.1454406345376764,2012.0,,38.75247780635796,-9.1654081954307,0,29,9.0,11366.0,1262.888888888889,2,6,6,5
9776,Bsc. Kory Bautista,male,1993-11-03 09:13:00,0.0,0.0,0.0,2.0,7330.0,1097.0,18.0,349.0,367.0,458.0,646.0,795.0,271.0,524.0,491.0,0.1498057191817005,2008.0,,38.73798515564075,-9.199309559837964,0,30,13.0,11837.0,910.5384615384615,1,6,6,5
16143,Phd. Edward Taylor,male,1993-04-08 01:15:00,1.0,0.0,0.0,3.0,7008.0,947.0,19.0,442.0,303.0,439.0,630.0,711.0,263.0,414.0,425.0,0.1527206604768555,2012.0,,38.749460364585765,-9.169275408744076,0,30,9.0,11157.0,1239.6666666666667,3,6,6,5
4321,Phd. Robert Mott,male,1995-02-06 05:58:00,1.0,0.0,0.0,3.0,7058.0,1000.0,16.0,443.0,340.0,371.0,678.0,717.0,246.0,503.0,350.0,0.1526629151882424,2007.0,990582.0,38.76336907591072,-9.160964537577458,0,28,14.0,11356.0,811.1428571428571,3,6,6,5
6375,Phd. Gladys Eddy,female,1992-03-29 02:31:00,0.0,0.0,0.0,3.0,7180.0,1229.0,17.0,414.0,355.0,361.0,747.0,719.0,215.0,640.0,699.0,0.156601936751489,2008.0,,38.759205045495406,-9.165503583869455,0,31,13.0,11860.0,912.3076923076924,3,6,6,5
23216,Phd. Yevette Skelton,female,1991-11-08 02:12:00,0.0,0.0,0.0,3.0,6975.0,1058.0,19.0,396.0,415.0,342.0,645.0,639.0,211.0,589.0,394.0,0.1439737454868678,2015.0,,38.75161133806287,-9.165192135588754,0,32,6.0,11270.0,1878.3333333333333,3,6,6,5
27821,Danial Allen,male,1991-11-18 08:42:00,0.0,0.0,0.0,2.0,8074.0,858.0,19.0,432.0,384.0,478.0,701.0,680.0,242.0,568.0,506.0,0.1458108979531293,2013.0,,38.769469714236,-9.10423963160362,0,32,8.0,12417.0,1552.125,0,6,6,5
6182,Msc. Jacob Murphy,male,1995-09-06 11:13:00,1.0,0.0,0.0,4.0,7121.0,836.0,18.0,360.0,395.0,438.0,699.0,654.0,231.0,361.0,573.0,0.1417450601377897,2010.0,969899.0,38.74801565608675,-9.187204857317344,0,28,11.0,11095.0,1008.6363636363636,2,6,6,5
