customer_id,customer_name,customer_gender,customer_birthdate,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,loyalty_card_number,latitude,longitude,is_business,age,years_as_customer,lifetime_spend,spend_per_year,education_level,2D_DBSCAN_clusters,3D_DBSCAN_cluster
11199,Robert Smith,male,1977-04-16 11:37:00,0.0,1.0,2.0,9.0,15493.0,222.0,14.0,700.0,972.0,683.0,1544.0,1433.0,143.0,49.0,4156.0,0.1516678074522579,2001.0,986822.0,38.765395858801966,-9.17928506865705,0,46,20.0,21239.0,1061.95,0,5,5
15901,Sabra Terrell,female,1988-02-17 09:22:00,1.0,0.0,2.0,8.0,14784.0,196.0,18.0,677.0,796.0,408.0,1528.0,1603.0,114.0,50.0,3822.0,0.1562975074591086,2000.0,916511.0,38.72767909586589,-9.128535166107676,0,35,21.0,20156.0,959.809523809524,0,5,5
17585,George Degasperis,male,1995-01-26 10:32:00,1.0,0.0,1.0,8.0,16931.0,195.0,12.0,755.0,857.0,483.0,1473.0,1474.0,269.0,52.0,4257.0,0.1593664254519183,2003.0,946582.0,38.7144047982265,-9.1727375710296,0,28,18.0,22489.0,1249.388888888889,0,5,5
4828,Bsc. Michael Pence,male,1986-08-13 06:22:00,1.0,0.0,1.0,8.0,14748.0,208.0,3.0,675.0,937.0,437.0,1616.0,1419.0,279.0,46.0,4677.0,0.1430929840800049,1999.0,969767.0,38.71807140542593,-9.19542526058596,0,37,22.0,20365.0,925.681818181818,1,5,5
9061,Msc. Diana Nageotte,female,1970-11-21 09:17:00,1.0,0.0,1.0,7.0,15475.0,218.0,18.0,713.0,811.0,525.0,1630.0,1374.0,210.0,44.0,3669.0,0.1516505410439173,2003.0,914148.0,38.76459311713514,-9.147230224493557,0,53,18.0,21000.0,1166.6666666666667,2,5,5
10649,Karen Dalton,female,1967-02-20 02:23:00,1.0,0.0,3.0,8.0,14518.0,202.0,20.0,656.0,772.0,715.0,1323.0,1433.0,210.0,55.0,4737.0,0.1479682190003857,1999.0,995795.0,38.76534058850732,-9.153091278564382,0,56,22.0,19884.0,903.818181818182,0,5,5
17918,Rhonda Gallo,female,1996-01-26 12:07:00,1.0,0.0,3.0,9.0,14793.0,198.0,13.0,724.0,1033.0,451.0,1413.0,1553.0,65.0,59.0,3747.0,0.1497211995839184,2006.0,904562.0,38.75103165823273,-9.139675052460644,0,27,15.0,20289.0,1352.6,0,5,5
7214,Msc. Gertrude Sims,female,1987-03-06 11:28:00,1.0,0.0,2.0,7.0,15341.0,194.0,11.0,859.0,990.0,525.0,1675.0,1453.0,188.0,58.0,3593.0,0.1500507553870406,2000.0,988608.0,38.76228913859648,-9.163661323001888,0,36,21.0,21283.0,1013.4761904761904,2,5,5
19361,Elnora Sparks,female,1942-09-06 08:55:00,2.0,0.0,1.0,9.0,14399.0,192.0,13.0,804.0,882.0,713.0,1377.0,1417.0,257.0,45.0,3857.0,0.147066613426301,1993.0,,38.73153442472295,-9.179777652959569,0,81,28.0,20086.0,717.3571428571429,0,5,5
11061,Charles Buck,male,1967-09-17 10:29:00,1.0,0.0,1.0,8.0,15138.0,205.0,16.0,766.0,943.0,776.0,1536.0,1610.0,216.0,52.0,3535.0,0.1525327680505376,2000.0,995209.0,38.71803280106167,-9.147934778789748,0,56,21.0,21242.0,1011.5238095238096,0,5,5
